country,continent,year,pop,gdpPercap,lifeExp
ADDISON,US,2013,1,30.0,30.0
ADDISON (I-355 AND US 20 (LAKE ST.),US,1999,1,600.0,600.0
ADDLESTONE (NEAR HEATHROW AIRPORT) (UK/ENGLAND),GB,2001,1,120.0,120.0
ADDLESTONE (UK/ENGLAND),GB,2002,1,60.0,60.0
ADDY,US,2004,1,0.0,0.0
ADDY,US,2006,1,,
ADEL,US,2012,1,,
ADEL,US,2013,1,420.0,420.0
ADELAIDE  (SOUTH AUSTRALIA),AU,2004,3,90.0,180.0
ADELAIDE  (SOUTH AUSTRALIA),AU,2005,4,305.0,600.0
ADELAIDE  (SOUTH AUSTRALIA),AU,2006,2,5460.0,10800.0
ADELAIDE  (SOUTH AUSTRALIA),AU,2007,2,150.0,300.0
ADELAIDE  (SOUTH AUSTRALIA),AU,2008,1,,
ADELAIDE  (SOUTH AUSTRALIA),AU,2009,2,300.0,300.0
ADELAIDE  (SOUTH AUSTRALIA),AU,2010,1,300.0,300.0
ADELAIDE (ALDINGA BEACH) (SOUTH AUSTRALIA),AU,1999,1,0.0,0.0
ADELAIDE (AUSTRALIA),AU,2003,1,90.0,90.0
ADELAIDE (AUSTRALIA),AU,2010,1,300.0,300.0
ADELAIDE (AUSTRALIA),AU,2013,1,,
ADELAIDE (AUSTRALIA),AU,2014,1,1.0,1.0
ADELAIDE (PT. WAKEFIELD) (SOUTH AUSTRALIA),AU,2002,1,600.0,600.0
ADELAIDE (SOUTH AUSTRALIA),AU,1999,3,2.5,5.0
ADELAIDE (SOUTH AUSTRALIA),AU,2001,1,120.0,120.0
ADELAIDE (SOUTH AUSTRALIA),AU,2002,8,282.5,600.0
ADELAIDE (SOUTH AUSTRALIA),AU,2003,6,458.75,900.0
ADELAIDE (SOUTH AUSTRALIA),AU,2004,1,120.0,120.0
ADELAIDE (SOUTH AUSTRALIA),AU,2007,1,60.0,60.0
ADELANTO,US,2003,1,60.0,60.0
ADELANTO,US,2007,1,0.0,0.0
ADELANTO,US,2008,2,1200.0,1800.0
ADELANTO,US,2011,1,,
ADKINS,US,2001,1,120.0,120.0
ADKINS,US,2006,1,60.0,60.0
ADRIAN,US,2002,1,2.0,2.0
ADRIAN,US,2003,1,,
ADRIAN,US,2004,1,3600.0,3600.0
